ID,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,Churn
33,172,Renew,0,0,3,212,121,39,1.56,12.6,Tidak
34,12,Renew,0,0,1,249.6,118,----,12.62,11.8,Ya
35,57,Renew,1,2.24,0,176.8,94,69.4,9.75,8.3,Tidak
36,72,Renew,1,3.97,3,220,80,95.7,10.87,14.7,Tidak
37,36,Renew,1,3.92,0,146.3,128,78.2,8.13,14.5,Tidak
38,78,Renew,0,0,1,----,64,42,11.19,10,Tidak
39,136,NotRenew,1,2.84,3,203.9,106,79.4,9.38,10.5,Tidak
40,149,Renew,0,0,1,140.4,94,47,13.59,11.1,Tidak
41,98,Renew,0,0.3,3,126.3,102,39,8.34,9.4,Tidak
42,135,NotRenew,1,3.94,0,173.1,85,86.4,10.2,14.6,Ya
43,34,Renew,0,0,2,124.8,82,46,14.11,10,Tidak
44,160,Renew,0,0.38,3,85.8,77,32.8,8.27,9.2,Tidak
45,64,Renew,0,0.24,1,154,67,48.4,11.29,3.5,Tidak
46,59,Renew,1,2.3,2,120.9,97,----,10.65,8.5,Tidak
47,65,Renew,0,0,3,211.3,120,50,8.13,13.2,Tidak
48,142,Renew,0,----,2,187,----,47.5,6.73,7.4,Tidak
49,119,Renew,0,nan,5,159.1,114,47,11.57,8.8,Ya
50,----,Renew,1,nan,1,133.2,135,71.7,10.86,11,Tidak
51,52,Renew,0,nan,3,191.9,108,59.2,13.49,7.8,Tidak Tahu
52,60,Renew,0,nan,1,220.6,57,56,10.56,6.8,Tidak Tahu
53,10,Renew,0,nan,2,186.1,112,48,9.51,11.4,Tidak Tahu
54,96,Renew,0,0.21,2,160.2,117,52.1,13.38,9.3,Tidak
55,87,Renew,0,0,5,151,83,45,10.99,9.7,Ya
56,81,Renew,0,0.11,1,175.5,67,53.1,12.47,10.2,Tidak
57,141,Renew,0,0,1,126.9,98,37,9,8,Tidak
58,121,Renew,1,1.57,3,198.4,129,56.7,3.77,5.8,Ya
59,68,Renew,0,0,3,148.8,70,47,12.33,12.1,Tidak
60,125,Renew,0,0,1,229.3,103,55,8.87,12,Tidak
61,174,Renew,0,0,1,192.1,97,48,8.5,11.4,Tidak
62,116,Renew,1,3.13,2,268.6,83,92.3,8.91,11.6,Tidak
63,74,Renew,1,3.94,2,193.7,91,93.4,12.31,14.6,Tidak
64,149,Renew,1,3.4,3,180.7,92,81,9.39,12.6,Tidak
65,38,Renew,0,0,2,131.2,98,37,8.15,8.2,Tidak
66,40,Renew,1,1.67,2,148.1,74,56.7,8.48,6.2,Tidak
67,43,NotRenew,0,0,0,251.5,105,61,10.64,9.3,Tidak
68,113,NotRenew,0,----,0,125.2,93,39,10.32,8.3,Tidak
69,126,Renew,0,0,1,211.6,70,55,10.85,7.8,Tidak
70,150,Renew,0,0,4,178.9,101,45,8.46,13.8,Ya
71,138,Renew,0,0,3,241.8,93,56,8.53,11.8,Tidak
72,162,Renew,1,3.27,0,224.9,97,87.7,9.41,12.1,Tidak
73,147,Renew,0,0,3,248.6,83,55,7.45,8,Tidak Tahu
74,90,Renew,0,----,1,203.4,146,54,11.34,7.3,Tidak Tahu
75,85,Renew,0,----,----,235.8,109,54,7.86,12,Tidak
76,50,Renew,0,0,1,157.1,90,46,11.17,6.1,Tidak
77,82,Renew,0,0.21,0,300.3,109,69.1,9.05,11.7,Ya
78,144,Renew,0,0.21,4,61.6,117,20.1,3.86,8.2,Ya
79,46,Renew,0,0.26,2,214.1,72,53.6,8.22,8.2,Tidak
80,70,Renew,0,0.3,1,170.2,98,46,7.76,15,Tidak
81,144,Renew,0,0,1,201.1,99,60,15.18,13.2,Tidak
82,116,NotRenew,0,0.3,3,215.4,104,58,10.24,12.6,Tidak
83,55,Renew,1,2.97,3,165.6,123,69.7,6.81,11,Tidak
84,70,Renew,1,2.65,1,249.5,101,91.5,12.99,9.8,Tidak
85,106,Renew,0,0,2,210.6,96,57,12.46,12.4,Ya
86,128,Renew,1,2.32,0,179.3,104,73.2,11.3,8.6,Tidak
87,94,Renew,0,0,4,157.9,105,41,7.75,8,Ya
88,111,Renew,0,0,1,214.3,118,55,10.43,12,Tidak
89,74,Renew,1,2.94,2,154.1,104,66.4,6.17,10.9,Tidak
90,128,Renew,0,0,1,237.9,125,62,12.38,13.9,Ya
91,82,Renew,0,0.17,1,143.9,61,43.7,9.75,11.1,Tidak
92,155,Renew,0,0,0,203.4,100,51,9.55,8.9,Ya
93,80,Renew,0,0,1,124.3,100,36,8.65,7.9,Tidak
94,78,Renew,0,0,3,252.9,93,59,8.92,9.5,Tidak
95,90,Renew,0,0,3,179.1,71,47,9.53,10.6,Tidak
96,104,Renew,0,0.3,1,278.4,106,58,4.05,9.8,Tidak
97,73,Renew,0,0,0,160.1,110,46,10.67,13,Tidak
98,99,Renew,0,0,4,198.2,87,52,10.37,8.7,Tidak
99,120,Renew,0,0,1,212.1,131,54,10.47,5.3,Ya
100,77,Renew,0,0,2,251.8,72,61,10.29,9.8,Ya
101,98,Renew,1,1.19,4,161.2,114,60.9,12.61,4.4,Tidak
102,108,Renew,0,0.34,0,178.3,137,50.4,9.45,14.6,Tidak
103,135,Renew,0,0,0,151.7,82,36,5.95,10.5,Tidak
104,95,Renew,0,0,1,----,99,39,9.18,12.5,Tidak
105,122,Renew,0,0.39,1,170.5,94,47.9,8.69,11.3,Tidak Tahu
106,95,Renew,0,0,4,238.1,65,57,9.36,11.8,Tidak Tahu
107,36,Renew,1,2.43,2,281.4,102,90.3,10.11,9,Tidak Tahu
108,93,Renew,1,2.65,1,117.9,131,61.5,8.23,9.8,Tidak Tahu
109,141,Renew,1,2.73,1,148.6,91,64.3,6.56,10.1,Tidak
110,157,Renew,0,0,3,229.8,90,52,7.4,9.6,Tidak
111,120,Renew,0,0,1,165,100,56,15.86,8.3,Tidak
112,103,Renew,0,0,2,185,117,51,11.17,12.6,Tidak
113,98,Renew,0,0,4,161,117,44,9.55,12.1,Tidak
114,125,Renew,0,0,1,126.7,108,40,10.3,13.3,Tidak
115,63,Renew,0,0,1,58.9,125,25,8.48,9.4,Tidak
116,36,NotRenew,1,5.4,0,196.8,89,110,12.75,20,Ya
117,64,Renew,0,0.29,1,162.6,83,43.9,7.62,14.2,Tidak
118,74,Renew,0,0.21,1,282.5,114,69.1,11,9.4,Ya
119,112,Renew,1,2.7,2,113.7,117,60,7.88,10,Tidak
120,97,Renew,0,0,2,239.8,125,60,10.74,8.7,Tidak
121,46,Renew,0,0.21,1,210.2,92,58.1,11.37,13.1,Tidak
122,41,Renew,1,1.94,0,213.8,102,68.4,7.09,7.2,Tidak
123,121,Renew,0,0,3,190.7,103,49,9.18,9.8,Tidak
124,193,Renew,0,0,1,170.9,124,41,6.62,11.6,Tidak
125,130,Renew,0,0,2,154.2,119,36,5.51,9.2,Tidak
126,85,Renew,0,0.4,1,201.4,52,58,11.47,12,Tidak
127,162,Renew,0,0,4,70.7,108,26,7.88,9.1,Ya
128,61,Renew,1,1.73,4,187.5,124,62.3,7.33,6.4,Ya
129,92,Renew,0,0,2,91.7,90,33,9.69,9.2,Tidak
130,131,Renew,1,2.57,3,214.2,115,76.7,8.09,9.5,Tidak
131,90,Renew,0,0,3,145.5,92,44,10.89,10.9,Tidak
132,75,Renew,0,0,1,166.3,125,42,7.91,6.1,Tidak
133,78,Renew,0,0,1,231,115,59,11.52,9.5,Tidak
134,82,Renew,0,0,4,200.3,96,52,10.06,7.1,Tidak
135,163,Renew,0,0,1,197,109,51,10.13,9.1,Tidak
136,91,NotRenew,0,0.31,3,129.9,112,40.1,8.67,11.2,Tidak
137,75,Renew,1,1.43,5,175.8,97,63.3,10.88,5.3,Tidak
138,91,Renew,0,0,3,203.1,106,53,10.51,12,Tidak Tahu
139,127,Renew,1,3.02,1,183.2,117,72.2,6.34,11.2,Tidak Tahu
140,113,Renew,1,2.75,2,205,101,75.5,7.6,10.2,Tidak
141,110,Renew,0,0,1,148.5,115,49,13.82,12.4,Tidak
142,120,Renew,1,2.84,0,200.3,68,81.4,11.02,10.5,Tidak
143,157,Renew,1,1.84,3,192.6,107,68.4,9.78,6.8,Tidak
144,103,Renew,0,0,1,246.5,47,59,9.78,11.7,Tidak
145,117,NotRenew,0,0,2,167.1,86,44,8.88,14.1,Ya
146,140,Renew,0,0,3,231.9,101,54,8.01,14.3,Tidak
147,127,Renew,0,0,1,146.7,91,43,10.18,13.7,Tidak
148,83,NotRenew,0,0.26,1,271.5,87,67.6,10.82,11.7,Tidak Tahu
149,121,Renew,0,0,1,181.5,121,50,10.92,8.5,Tidak Tahu
150,145,Renew,1,3,2,257.7,97,88,8.11,11.1,Tidak Tahu
151,113,Renew,0,0,1,193.8,99,52,11.07,10.6,Tidak
152,117,Renew,0,0,1,102.8,119,36,10.34,10.1,Tidak
153,65,Renew,0,0,1,187.9,116,46,7.88,7.5,Tidak
154,56,Renew,0,0,1,226,112,60,12.43,6.9,Tidak
155,96,Renew,0,0,5,260.4,115,57,7.3,11.5,Tidak
156,151,Renew,0,0,0,178.7,116,56,14.61,9.8,Tidak
157,83,Renew,0,0,0,337.4,120,77,11.37,15.8,Ya
158,139,Renew,1,3.7,0,157.6,129,85,12.35,13.7,Tidak
159,6,Renew,0,0,1,183.6,117,54,12.84,10.2,Tidak
160,115,Renew,1,2.59,1,142.1,124,65.9,9.17,9.6,Tidak
161,87,Renew,0,0.31,0,136.3,97,41.1,8.61,7.1,Tidak
162,141,Renew,0,0,0,217.1,110,58,12.08,12,Tidak
163,141,Renew,1,2.84,3,187.5,99,81.4,12.07,10.5,Tidak
164,62,Renew,0,0,1,98.9,103,29,6.77,12.2,Tidak
165,146,Renew,0,0,1,206.3,151,48,7.43,6.1,Tidak
166,92,Renew,1,3.27,2,243.1,92,92.7,10.69,12.1,Tidak
167,185,Renew,1,2.03,1,189.8,126,67.3,8.17,7.5,Tidak
168,148,Renew,0,0.39,1,202,102,59.9,12.16,10.9,Tidak
169,94,Renew,1,3.46,1,170.1,124,80.6,9.67,12.8,Tidak
170,32,Renew,0,0,0,230.9,87,56,9.37,6.3,Tidak
171,68,Renew,0,0,1,237.1,105,60,11.18,13.2,Tidak
172,64,Renew,1,2.86,2,182.1,91,74.6,8.49,10.6,Tidak
173,25,Renew,0,0.14,3,119.3,87,40.4,10.58,10.5,Tidak
174,65,Renew,0,0,1,116.8,87,36,8.95,14.1,Tidak
175,179,Renew,0,0,0,219.2,92,50,7.47,6.1,Tidak Tahu
176,94,Renew,0,0,2,252.6,104,58,8.45,11.1,Tidak Tahu
177,62,Renew,0,0,0,147.1,91,42,9.52,12.2,Tidak Tahu
178,127,Renew,0,0,2,202.1,103,54,11.47,11.5,Tidak
179,116,Renew,0,0.23,3,173.5,93,48.3,9.71,16.2,Tidak
180,70,Renew,0,0,3,232.1,122,65,14.62,0,Tidak
181,94,NotRenew,1,2.57,4,197.1,125,77.7,10.73,9.5,Tidak
182,126,Renew,0,0,5,58.2,94,22,6.94,11.9,Ya
183,67,Renew,1,2.67,2,115.6,111,66.7,11.89,9.9,Tidak
184,19,Renew,0,0.14,2,186.1,98,55.4,12.72,14.6,Tidak
185,170,NotRenew,0,0,3,259.9,68,66,12.25,8.4,Tidak
186,73,Renew,0,0,1,214.3,145,60,13.43,10.8,Tidak
187,106,Renew,0,0,1,158.7,74,33,3.22,10.2,Tidak
188,93,Renew,0,0.19,2,271.6,71,67.9,11.47,10.9,Tidak
189,164,Renew,0,0.27,1,160.6,111,44.7,8.16,9,Tidak
190,51,Renew,0,0,1,232.4,109,56,9.37,9.1,Tidak
191,107,Renew,0,0,0,133.8,85,39,9.03,8.9,Tidak
192,130,Renew,0,0.35,1,176.9,109,41.5,4.54,9.5,Tidak
193,80,Renew,0,0,2,209.9,74,53,9.76,8.8,Tidak
194,94,Renew,0,0.22,0,137.5,118,43.2,10.16,13.4,Tidak
195,118,Renew,1,2.57,1,289.5,52,89.7,8.33,9.5,Tidak
196,117,Renew,1,1.84,1,198.1,86,67.4,8.85,6.8,Tidak
197,78,Renew,0,0,0,149.7,119,41,9.11,9.7,Tidak
198,208,Renew,0,0.33,2,326.5,67,74.3,8.82,10.7,Ya
199,131,NotRenew,1,3.73,4,292.9,101,104.3,9.99,13.8,Ya
200,63,Renew,0,0,0,83,64,30,8.85,13,Tidak
201,53,Renew,1,3.54,3,145.7,146,79.4,11.03,13.1,Tidak
202,62,Renew,0,0,2,182.3,101,59,16.41,11.2,Tidak
203,97,Renew,0,0,3,218,86,53,9.2,6.4,Tidak
204,105,Renew,0,0,2,140.6,109,40,8.93,6.8,Tidak
205,157,Renew,0,0,1,152.7,105,48,12.88,9.4,Tidak
206,66,Renew,1,3.27,1,106.7,76,68.7,10.49,12.1,Tidak
207,122,Renew,0,0,2,243.8,98,49,4.2,13.7,Tidak
208,38,Renew,0,0,3,194.4,94,49,9.34,10.8,Tidak
209,106,Renew,0,0,3,213.9,95,50,7.6,12.2,Tidak Tahu
210,99,Renew,0,0,3,217.2,112,58,12.34,15.8,Tidak Tahu
211,99,Renew,0,0,1,nan,72,55,7.78,11.6,Tidak Tahu
212,144,NotRenew,0,0,0,nan,100,56,12.38,11.9,Tidak
213,82,Renew,1,2.89,1,nan,131,76.9,12.23,10.7,Tidak
214,86,Renew,1,3.29,1,nan,139,71.9,5.65,12.2,Tidak
215,70,NotRenew,0,0,2,nan,98,58,11.41,17.6,Ya
216,93,Renew,0,0,3,nan,93,46,8.93,11.5,Tidak
217,93,Renew,0,0.31,0,nan,89,45.1,9.32,10.9,Tidak
218,120,Renew,0,0,3,nan,80,50,11.21,4.7,Tidak
219,136,Renew,0,0,1,nan,121,66,13.36,13,Ya
220,106,Renew,0,0.4,0,nan,121,52,5.51,7.1,Tidak
221,81,Renew,0,0,3,nan,116,45,7.63,12.2,Tidak
222,127,Renew,1,2.75,1,166,114,71.5,8.73,10.2,Tidak
223,65,Renew,0,0,1,136.1,112,47,13.65,4.4,Tidak
224,35,Renew,0,0.32,2,149.3,113,49.2,12.11,8.9,Tidak
225,88,Renew,0,0,2,65.4,97,26,8.41,13.8,Tidak
226,65,Renew,0,0,1,213.4,111,57,11.73,2.7,Tidak
227,123,Renew,0,0,3,206.9,85,56,12.24,7.7,Tidak
228,126,Renew,1,2.59,2,186.2,78,73.9,9.48,9.6,Tidak
229,104,Renew,1,3.59,4,280.2,136,102.9,11.03,13.3,Tidak
230,45,Renew,1,3.21,0,196.6,84,93.1,15.66,11.9,Tidak
231,93,NotRenew,0,0,0,312,109,65,6.47,10.5,Ya
232,63,NotRenew,1,2.97,1,199,110,88.7,14.57,11,Tidak
233,100,Renew,0,0.25,3,203.1,96,55.5,10.85,13.5,Tidak
234,53,Renew,0,0,0,168.8,97,48,11.02,10.9,Tidak
235,92,NotRenew,0,0,1,173.1,140,50,12.02,9,Tidak
236,139,Renew,0,0,5,134.4,106,41,10.57,10.2,Ya
237,110,Renew,1,2.43,2,202.6,103,69.3,5.94,9,Tidak
238,110,Renew,0,0.31,3,74.5,117,33.1,10.04,9.8,Tidak
239,215,Renew,0,0.31,0,83.6,148,28.1,6.05,10.7,Tidak
240,73,Renew,0,0,1,192.2,86,47,8.43,9.4,Tidak
241,138,Renew,0,0,0,220.2,89,45,4.42,12.9,Tidak
242,137,NotRenew,0,0,2,135.1,95,35,6.71,12.3,Ya
243,36,Renew,0,0.25,1,253.4,77,61.5,9.12,8.4,Tidak
244,85,Renew,0,0,3,225,81,54,8.85,7.1,Tidak
245,108,Renew,0,0,0,198.5,99,57,13.39,9.4,Ya
246,22,Renew,0,0,0,110.3,107,33,8.33,9.5,Tidak
247,107,Renew,1,3,0,60,102,49,5.11,11.1,Tidak
248,51,Renew,0,0,0,214.8,94,50,7.49,10.2,Tidak
249,94,Renew,0,0,4,181.8,85,49,10.12,9.2,Tidak
250,119,Renew,1,3.19,2,154,114,81.9,13.9,11.8,Tidak
251,33,Renew,1,3.75,4,157.4,99,74.5,5.9,13.9,Ya
252,106,Renew,0,0,4,207.9,91,50,8.6,14.4,Tidak
253,82,Renew,0,0,3,207,90,55,11.65,9.1,Tidak
254,86,Renew,1,2.57,0,119,101,65.7,11.5,9.5,Tidak
255,97,NotRenew,0,0.28,0,143.7,117,50.8,13.65,10.9,Tidak
256,106,Renew,1,3.81,4,165.9,126,85.1,10.83,14.1,Tidak
257,108,Renew,0,0,1,138.6,122,39,8.62,9.8,Tidak
258,114,Renew,0,0.29,1,84.7,118,38.9,12.5,14.5,Tidak
259,92,NotRenew,0,0,1,62.6,111,26,9.03,10.4,Ya
260,59,Renew,0,0,1,155.2,79,47,11.77,8.7,Tidak
261,24,Renew,1,1.81,1,164.9,110,64.1,10.47,6.7,Tidak
262,151,Renew,0,0,1,134.5,88,36,7.16,15.4,Tidak
263,117,Renew,0,0,1,143.3,103,43,10.57,11.5,Tidak
264,78,Renew,0,0.51,1,168.3,110,53.1,11.06,12.5,Tidak
265,155,Renew,0,0,2,262.4,55,62,9.73,8.3,Tidak
266,114,Renew,1,3.08,1,206.2,79,88.8,13,11.4,Tidak
267,114,Renew,1,2.27,4,225.8,94,77.7,9.65,8.4,Tidak
268,119,Renew,0,0,3,138.3,89,38,8.53,13.5,Tidak
269,64,Renew,1,1.22,0,94.4,104,40.2,6.81,4.5,Tidak
270,118,NotRenew,0,0,2,160,123,43,8.77,9.9,Tidak
271,101,Renew,0,0,0,206.6,105,55,11.25,14.6,Tidak
272,117,Renew,0,0,1,134.7,121,39,9,7.7,Tidak
273,49,Renew,1,2.16,3,214.4,78,78.6,11.76,8,Tidak
274,139,Renew,0,0,3,192.8,104,53,11.72,13,Tidak
275,92,Renew,1,2.7,1,151.1,90,70,9.74,10,Tidak
276,83,Renew,0,0,3,221.4,103,58,11.59,9.8,Tidak
277,148,NotRenew,0,0,0,218.9,88,55,10.4,11.1,Tidak
278,144,Renew,1,1.76,2,189.8,96,60.6,6.17,6.5,Ya
279,131,Renew,1,2.94,2,192.7,85,81.4,11.3,10.9,Tidak
280,146,NotRenew,0,0,3,204.4,135,54,10.96,10.5,Tidak
281,143,Renew,0,0.42,2,172.3,97,49.2,8.7,13,Tidak
282,81,Renew,0,0.13,2,198.4,93,53.3,10.55,10.4,Tidak
283,48,Renew,1,3.29,1,211.7,115,82.9,8,12.2,Tidak
284,86,Renew,1,2.43,1,221.6,74,87.3,14.42,9,Tidak
285,71,Renew,0,0,3,197.9,108,50,9.08,6.7,Tidak
286,145,Renew,1,4.21,2,147.5,90,83.1,8.79,15.6,Tidak
287,137,Renew,0,0,2,206.4,122,46,6.4,8.8,Tidak
288,137,Renew,0,0.27,2,205.9,88,55.7,10.47,14.5,Tidak
289,167,Renew,0,0,0,207.6,88,47,6.62,14.1,Tidak
290,89,Renew,0,0,1,303.9,95,74,13.05,5.3,Ya
291,199,Renew,1,2.16,0,230.6,121,79.6,10.97,8,Tidak
292,132,Renew,0,0,0,99.5,110,28,6.46,9.7,Tidak Tahu
293,94,Renew,0,0,1,177.1,112,47,9.7,5.9,Tidak
294,96,Renew,1,2.78,5,172.7,93,67.8,6.01,10.3,Ya
295,96,Renew,1,2.65,1,172.7,86,67.5,6.67,9.8,Tidak
296,166,Renew,0,0.29,1,204.2,115,52.9,9,9.5,Tidak
297,74,Renew,0,0.2,2,85.7,83,38,12.39,10.1,Tidak
298,36,Renew,0,0.34,0,157.6,117,46.4,9.22,11.9,Tidak
299,113,Renew,0,0,4,215.5,129,56,10.94,6.6,Tidak
300,94,Renew,0,0,1,181.5,98,48,10,6.6,Tidak
301,67,Renew,0,0,2,171.7,80,39,5.52,11.9,Tidak
302,127,Renew,0,0.26,1,266.6,106,70.6,13.24,5.9,Ya
303,121,Renew,0,0,0,170.4,108,59,17.53,11.2,Ya
304,158,Renew,0,0,1,158,106,52,14.63,9.1,Tidak
305,136,Renew,0,0.34,1,92,117,41.4,12.68,10.3,Tidak
306,196,Renew,0,0,2,234,109,61,12.48,9.1,Tidak
307,113,Renew,0,0,1,272.1,111,70,13.43,8.5,Ya
308,122,Renew,0,0,4,296.4,99,69,10.74,11.4,Ya
309,112,Renew,0,0.29,0,194.4,101,52.9,9.52,11.4,Tidak
310,209,Renew,0,0,3,227.2,128,61,12.92,8.9,Tidak
311,62,Renew,0,0,1,248.7,109,61,11,13.2,Ya
312,110,Renew,1,2.62,1,236.3,102,83.2,9.8,9.7,Tidak
313,16,Renew,0,0,0,205.6,69,50,8.48,10.9,Tidak
314,73,Renew,0,0,0,94.1,136,40,14.02,9.8,Tidak
315,128,Renew,0,0,0,125.2,99,39,10.27,18.9,Tidak
316,39,Renew,0,0.23,1,60.4,158,39.3,15.31,12.4,Tidak
317,103,Renew,1,2.08,2,121,105,64.8,13.52,7.7,Tidak
318,119,Renew,1,2.05,3,117.8,66,62.5,12.84,7.6,Tidak
319,173,Renew,1,1.35,3,232.4,96,71.5,10.6,5,Tidak
320,128,NotRenew,1,2.54,2,223.5,81,80.4,9.44,9.4,Ya
321,86,Renew,0,0,0,176.3,79,52,12.96,6.2,Tidak
322,114,Renew,1,3.48,1,125.2,79,71.8,8.89,12.9,Tidak
323,104,Renew,0,0,0,138.7,107,46,12.85,10,Tidak
324,148,Renew,0,0,1,86.3,134,36,12.33,11.3,Tidak
325,129,Renew,0,0,3,207,91,49,7.75,13.4,Tidak
326,100,Renew,1,1.92,0,58.8,104,48.2,10.98,7.1,Tidak
327,121,Renew,1,3.08,1,68.7,95,60.8,10.46,11.4,Tidak
328,143,Renew,1,2.57,1,239.2,109,86.7,11.78,9.5,Tidak
329,76,Renew,0,0,0,198.3,130,53,10.86,12.5,Tidak
330,158,Renew,0,0.14,0,205.2,97,57.4,12.03,14.4,Tidak
331,116,Renew,0,0.24,3,192.1,98,62.4,15.65,7.9,Tidak
332,54,Renew,0,0,1,272.6,83,68,12.44,9.5,Ya
333,86,Renew,0,0.3,7,128.3,121,42,9.86,12.2,Ya
334,108,Renew,0,0,0,169.6,99,52,13.21,9.3,Tidak
335,66,Renew,0,0,1,201.3,95,48,7.64,7.5,Tidak
336,151,Renew,1,2.32,1,214.7,97,72.2,6.93,8.6,Tidak
337,99,Renew,0,0,0,169.2,70,52,13.58,10.6,Tidak
338,55,Renew,0,0,2,194.1,121,49,8.83,7,Tidak
339,77,Renew,0,0,2,233.8,104,63,13.33,7.6,Tidak
340,78,Renew,0,0,0,225.1,67,56,9.96,14.6,Tidak
341,89,Renew,0,0,1,213,63,52,8.83,9.1,Ya
342,101,Renew,0,0,1,183.9,115,54,12.8,10.8,Tidak
343,44,Renew,1,3.78,0,221.8,105,89.8,8.09,14,Tidak
344,98,Renew,1,0,2,64.6,98,26,8.81,0,Tidak
345,64,Renew,1,3.59,1,154.6,92,69.9,4.17,13.3,Tidak
346,141,Renew,0,0,3,260.2,131,60,8.96,7.2,Tidak
347,81,Renew,1,3.29,1,161.6,117,70.9,6.15,12.2,Tidak
348,162,Renew,0,0,1,220.6,117,51,7.76,10.5,Tidak
349,83,Renew,1,3.54,3,155.9,122,76.4,8.12,13.1,Tidak
350,100,Renew,0,0.34,4,107,63,31.4,5.29,12.8,Ya
351,59,Renew,0,0.51,4,182.5,104,54.1,10.24,11.3,Tidak
352,179,NotRenew,1,2.73,4,220.1,78,85.3,11.72,10.1,Tidak
353,79,Renew,0,0,1,152.2,112,41,8.86,5.3,Tidak
354,117,Renew,0,0,2,181.5,95,49,10.26,14.7,Tidak
355,64,NotRenew,0,0.18,2,236.2,77,60.8,10.93,13.2,Ya
356,31,Renew,0,0.28,1,166.1,105,37.8,3.97,12.7,Tidak
357,124,NotRenew,0,0,1,244.6,89,58,9.44,11.3,Tidak
358,122,Renew,1,2.3,2,134.2,85,66,11.37,8.5,Tidak
359,37,NotRenew,1,2.48,1,149.7,122,68.8,10.56,9.2,Tidak
360,90,Renew,1,1.57,1,150.1,109,64.7,13.24,5.8,Tidak
361,159,NotRenew,0,0.44,1,257.1,53,75.4,15.61,8.8,Ya
362,148,Renew,0,0,0,124.4,83,37,8.99,11.3,Tidak
363,39,Renew,1,3.24,1,141.7,121,76.4,11.62,12,Tidak
364,77,Renew,0,0.14,2,230,87,49.4,5.16,11.3,Tidak
365,194,Renew,0,0,0,162.3,88,46,10.69,10.9,Tidak
366,154,Renew,0,0,1,350.8,75,79,10.83,10.1,Ya
367,112,Renew,0,0,4,193.3,96,56,13.21,9.1,Tidak
368,45,Renew,0,0,1,78.2,127,35,12.67,18,Tidak
369,132,Renew,0,0.22,1,83.4,110,36.2,11.61,7.6,Tidak
370,128,Renew,0,0.28,0,195.6,99,59.8,13.39,16,Tidak
371,135,Renew,0,0.42,1,201.8,81,58.2,11.25,10.3,Tidak
372,56,Renew,0,0,2,197,110,53,11.14,10.6,Tidak
373,151,NotRenew,0,0.29,0,218,57,49.9,5.72,12.4,Ya
374,32,Renew,0,0,2,164.8,98,48,11.5,14.8,Tidak
375,90,Renew,0,0,2,179.2,77,49,10.54,9.2,Tidak
376,87,Renew,1,2.86,0,214,113,80.6,9,10.6,Tidak
377,138,Renew,0,0.43,2,170.5,87,44.3,5.91,11.2,Tidak
378,79,Renew,0,0,1,205.7,123,54,10.73,6.7,Tidak
379,95,NotRenew,0,0,1,165.5,84,53,14.31,11.5,Ya
